@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data
2,0.623423,0.426579,0.65388,3.953887,0.416779,0.002987,1.722915,11.34697,-0.061807,-0.553058,0.048793,0.800016,-0.559839,-0.022786,0.157235,1.702523,0.008841,0.907228,0,0
8,0.423865,0.103014,0.9957,3.422389,0.284735,-0.03923,1.037653,6.252164,-0.072708,-0.346103,0.768136,4.350383,-0.585283,-0.194368,1.166219,13.000352,-0.114084,0.855326,1,0
8,0.187555,-0.55713,0.699552,3.185894,-0.403331,-0.245473,0.875541,5.30383,-0.38915,0.407739,1.320278,4.570506,-0.061012,0.380215,0.845306,4.975575,0.509015,0.744333,2,0
2,0.387615,1.144368,0.12594,1.627654,1.168988,0.212848,0.849439,4.978252,0.233401,-0.581355,0.063189,1.303577,-0.651261,-0.972263,0.524991,2.32027,-0.549748,0.992361,0,0
7,0.660617,-0.10043,0.973957,3.561084,0.078957,0.042136,0.847024,4.971672,-0.007067,0.190923,0.996965,5.476442,0.211182,0.099297,0.815534,6.953082,0.056709,1.148534,5,0
2,0.642562,-0.064363,0.593744,3.706473,-0.123582,0.052888,2.325832,12.684766,-0.081806,-0.142589,0.199776,2.475868,-0.126348,0.229241,0.908494,4.96392,0.391779,0.791168,0,0
8,0.2224,-0.16526,0.761792,3.358486,-0.382728,-0.110936,0.820231,4.81705,-0.084713,-0.296544,0.649686,4.280816,-0.202153,0.159757,0.9866,5.004662,0.206082,1.269406,0,0
5,0.102788,-0.508232,0.544739,2.965272,-0.873265,-0.148236,1.070087,6.51513,-0.388226,0.908911,2.345513,7.424117,0.623426,-0.518631,1.368637,6.127404,-0.512201,0.862988,0,0
2,0.343941,0.615197,0.751729,3.045249,0.577992,0.28716,0.931241,4.264426,0.40619,-0.672037,0.025759,0.898335,-0.683996,0.142901,0.711511,3.261946,0.51105,0.92977,0,0
7,0.783807,0.168932,1.207494,4.206562,-0.05239,0.05884,0.842689,5.166927,-0.033698,0.053703,0.740778,4.385374,-0.174271,-0.028808,0.883346,4.868267,0.049022,0.806684,0,0
2,0.649903,-0.222063,0.609074,3.909108,-0.021493,-0.153889,1.899699,12.160887,-0.17566,0.350832,0.472612,5.115559,0.287816,0.543618,0.350127,2.272738,0.639911,0.845112,1,0
8,0.323796,-0.051539,0.863051,3.368784,-0.017786,0.107545,0.983065,4.679796,-0.011454,-0.315138,1.443143,9.039153,-0.463216,0.196002,1.7415,7.168952,0.40076,1.03812,0,0
3,0.079208,-0.24317,0.671179,3.104877,-0.111551,-0.334344,0.579883,4.791093,-0.489818,-0.085829,1.254614,6.98583,-0.351316,0.281335,1.323085,3.923097,0.229519,0.809962,0,0
2,0.293889,0.38199,1.1725,3.488715,0.351465,-0.202702,1.016015,4.371394,-0.370791,0.529212,0.377239,2.843064,0.517794,-0.445769,0.110143,1.92493,-0.393394,1.173308,1,0
