@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0.046434,0,0,0,0.004983,0.0299,0,0.541319,0.581185,0.657264,0
9,0.001167,0.002334,0.004667,0,0,0.007009,0.001168,0,0.755163,0.818479,0.931108,0
9,0,0.005587,0,0,0,0.02809,0,0,0.577921,0.616053,0.699149,0
9,0,0.057301,0,0,0,0.024074,0.033333,0,0.218318,0.224472,0.238660,0
9,0,0.06,0,0,0,0.020202,0.030303,0,0.328235,0.344384,0.383080,0
9,0,0.051178,0,0,0,0.006065,0.039757,0,0.672181,0.726375,0.825421,2
9,0,0.005641,0,0,0,0.003226,0.001613,0,0.799545,0.867285,0.987194,1
9,0,0,0,0,0,0.029557,0,0,0.628622,0.673297,0.764608,0
9,0,0.134165,0.00156,0,0,0.023438,0.095313,0,0.291223,0.308264,0.336572,0
9,0.017391,0.026087,0,0,0,0.026316,0.008772,0,0.149111,0.148823,0.158576,0
9,0.003883,0.149515,0.001942,0,0,0.007782,0.128405,0,0.389874,0.414755,0.468338,0
9,0.016018,0.016018,0,0,0,0.003817,0.008397,0,0.769087,0.834785,0.949986,0
9,0,0.010929,0.005464,0,0,0.021978,0,0,0.611795,0.654865,0.743174,0
9,0,0.1171,0.007435,0,0,0.029795,0.07635,0,0.223989,0.231018,0.246829,0
9,0,0.105882,0,0,0,0.02381,0.083333,0,0.235999,0.239919,0.264395,1
9,0.007987,0.111821,0,0,0,0.0064,0.096,0,0.385132,0.411631,0.463840,0
9,0,0.00365,0.006083,0,0,0.01218,0.001218,0,0.742602,0.803106,0.913400,0
9,0,0.011299,0,0,0,0,0.005682,0,0.603510,0.648015,0.734674,0
9,0,0.123478,0.001739,0,0,0.013937,0.083624,0,0.315013,0.333032,0.365723,1
9,0.057143,0,0,0,0,0.009615,0,0,0.218763,0.231256,0.252105,0
9,0.01721,0.039855,0.004529,0,0,0.00816,0.030825,0,0.598886,0.646704,0.732177,0
9,0.013158,0.003947,0.001316,0,0.001317,0.003292,0.001317,0,0.642253,0.697005,0.792148,1
9,0,0.00625,0.00625,0,0,0.025157,0,0,0.590094,0.632194,0.716873,0
9,0.003866,0.060567,0,0,0,0.009032,0.037419,0,0.254244,0.268149,0.293437,1
9,0.028037,0,0,0,0,0.037736,0,0,0.311400,0.321667,0.358599,0
9,0.013769,0.010327,0.010327,0,0,0.008621,0.001724,0,0.446537,0.478292,0.537437,0
9,0.001431,0,0,0,0,0.001433,0,0,0.816843,0.887255,1.010765,0
9,0,0,0.005814,0,0,0.035088,0,0,0.617551,0.660254,0.749995,0
9,0,0.026549,0.00354,0,0,0.014184,0.014184,0,0.300706,0.315773,0.344959,0
9,0.078261,0.017391,0,0,0,0.008772,0,0,0.186079,0.195767,0.209886,0
9,0.024862,0.012431,0.008287,0,0,0.002766,0.004149,0,0.255833,0.274774,0.306042,0
9,0.037893,0.012939,0.000924,0,0,0.0037,0.009251,0,0.594778,0.644701,0.732049,1
9,0,0.018868,0,0,0,0.037975,0.006329,0,0.502751,0.534376,0.604222,0
9,0.009728,0.083658,0,0,0,0.017544,0.050682,0,0.159753,0.165318,0.173843,0
9,0,0.07377,0,0,0,0.041322,0.041322,0,0.430618,0.452920,0.510052,0
9,0,0.095794,0.001168,0,0,0.007018,0.079532,0,0.608924,0.657327,0.746075,0
9,0.021292,0.003549,0.00071,0,0,0.004261,0.002131,0,0.665643,0.722895,0.821826,0
9,0.005291,0,0.005291,0,0,0.037234,0,0,0.498725,0.530286,0.600411,0
9,0,0.105181,0,0,0,0.014151,0.083333,0,0.259527,0.271916,0.290555,0
9,0,0.048077,0,0,0,0.019417,0.029126,0,0.314988,0.326834,0.362038,0
9,0,0.07486,0.002235,0,0,0.005593,0.061521,0,0.581757,0.629340,0.713382,0
9,0,0.008724,0,0,0,0.002183,0.003275,0,0.789000,0.856342,0.974498,0
9,0,0,0.018405,0,0,0.012346,0,0,0.533253,0.570258,0.646377,0
9,0.028571,0.078571,0.001786,0,0,0.019678,0.051878,0,0.193133,0.200002,0.211528,0
9,0,0.048951,0,0,0,0.021127,0.021127,0,0.446838,0.473940,0.532328,0
