@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature788 numeric
@attribute bi_feature809 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.004702,0,0,0,0.00157,0,0.254354,0.264613,0.299239,1
0.016529,0,0,0,0,0,0.164376,0.169887,0.195039,0
0.040706,0.001359,0.001359,0,0,0,0.267600,0.279314,0.329658,1
0.015512,0,0,0,0,0,0.703118,0.739295,0.910471,0
0,0,0,0,0,0,0.582117,0.601583,0.738534,0
0.026534,0,0,0,0,0,0.554489,0.579169,0.707252,0
0,0,0,0,0,0,0.178702,0.174035,0.197512,0
0,0,0,0,0,0,0.548467,0.571742,0.698274,0
0.035813,0,0,0,0.000919,0,0.647036,0.679965,0.836282,1
0,0,0,0,0,0,0.473136,0.484042,0.591131,0
0,0,0,0,0,0,0.228381,0.227209,0.261423,0
0,0,0,0,0,0,0.359969,0.368121,0.446334,0
0,0,0,0,0,0,0.389925,0.401208,0.487032,0
0.008043,0,0,0,0,0,0.752023,0.788961,0.973287,0
0,0,0,0,0,0,0.563175,0.581660,0.714191,0
0,0,0,0,0,0,0.268260,0.270747,0.313902,0
0,0,0,0,0,0,0.423203,0.440458,0.531998,1
0.003831,0,0,0,0,0,0.538205,0.559832,0.687211,2
0.00252,0,0,0,0,0,0.796341,0.835862,1.033178,2
0,0,0,0,0,0,0.314065,0.332367,0.391787,0
0,0,0,0,0,0,0.277340,0.288211,0.333635,2
0,0,0,0,0,0,0.419891,0.430412,0.522376,0
0,0,0,0,0,0,0.456268,0.473823,0.574878,0
0.013356,0,0,0,0,0,0.704970,0.739497,0.911575,1
0,0,0,0,0,0,0.613351,0.636324,0.783460,0
0,0,0,0,0,0,0.205975,0.207993,0.234106,1
