@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1039 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.145695,0.046358,0,0.013289,0.003322,0.003322,0,0.645051,0.666677,0.777705,0
0,0.04626,0.200787,0,0.013793,0.029557,0.063054,0,0.351183,0.360247,0.408874,0
0,0.148325,0,0,0.028846,0,0,0,0.477426,0.487123,0.560674,0
0,0.105473,0.057711,0,0.00498,0.008964,0.028884,0,0.580379,0.599930,0.695526,0
0.002101,0.02381,0.004902,0,0.005606,0.000701,0.002102,0,0.787610,0.822296,0.961392,0
0,0.153846,0.016722,0,0.026846,0,0,0,0.615087,0.633022,0.738115,0
0,0.131929,0.086475,0,0.024417,0.021088,0.067703,0,0.246207,0.246726,0.267833,0
0,0.166667,0.089286,0,0.017964,0.023952,0.041916,0,0.363343,0.368769,0.421965,0
0,0.059774,0.062601,0,0.003636,0.008081,0.01899,0,0.703762,0.732053,0.854281,2
0,0.012573,0.011122,0,0.00387,0.00387,0.006773,0,0.828178,0.865397,1.013110,1
0,0.141176,0,0,0.023599,0,0.0059,0,0.661214,0.682899,0.796359,0
0,0.070159,0.173994,0,0.018727,0.032772,0.070225,0,0.314553,0.323128,0.360942,0
0.020833,0.182292,0.067708,0,0.020942,0.020942,0.020942,0,0.168953,0.166609,0.180954,0
0.004662,0.125874,0.168998,0,0.007001,0.012835,0.010502,0,0.428946,0.440140,0.507826,0
0.017849,0.010984,0.021053,0,0.002747,0.004121,0.005952,0,0.798080,0.834520,0.976547,0
0,0.140523,0.019608,0,0.022951,0,0.003279,0,0.640226,0.660907,0.771359,0
0,0.103563,0.158129,0,0.023411,0.028986,0.061315,0,0.252137,0.254269,0.279417,0
0,0.253521,0.112676,0,0.021277,0.007092,0.014184,0,0.277670,0.274530,0.307433,1
0.010536,0.10728,0.125479,0,0.005753,0.00767,0.020134,0,0.418208,0.431330,0.496225,0
