@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.009174,0,0,0,0,0,0.040342,0.054601,0.040574,0
0.015203,0,0,0,0,0,0.035947,0.049446,0.035687,0
0.056202,0,0,0,0,0,0.019832,0.026426,0.017526,0
0.024845,0,0,0,0,0,0.030573,0.040555,0.030062,0
0,0.121511,0,0,0.021382,0,0.259284,0.260995,0.291226,0
0.06,0.06,0,0,0.030303,0,0.079537,0.073759,0.071164,0
0,0.045198,0,0,0.020755,0,0.428003,0.440989,0.510856,0
0,0.002841,0,0,0,0,0.797024,0.837241,0.987676,0
0.028736,0,0,0,0.028902,0,0.447180,0.461241,0.536428,0
0.004702,0.086207,0,0,0.012559,0.00157,0.254879,0.265619,0.292516,1
0.016529,0.099174,0,0,0,0,0.164692,0.170289,0.187998,0
0.040706,0.063772,0.001359,0,0.006793,0,0.268160,0.280152,0.319124,1
0.015512,0.02999,0,0,0,0,0.704921,0.741542,0.871927,0
0,0.013072,0,0,0.026316,0,0.583789,0.603512,0.707566,0
0.026534,0.049751,0,0,0.009129,0,0.555938,0.581071,0.677888,0
0,0.141026,0,0,0.025974,0,0.179466,0.174550,0.189368,0
0,0.076846,0,0,0.008991,0,0.549899,0.573678,0.669310,0
0.035813,0.016529,0,0,0.001838,0.000919,0.648704,0.681906,0.801527,1
0,0.020833,0,0,0.041958,0,0.474579,0.485567,0.566552,0
0,0.14959,0,0,0.01848,0,0.229138,0.227902,0.251042,0
0,0.05,0,0,0.020202,0,0.361142,0.369029,0.427161,0
0,0.111317,0,0,0.01487,0,0.390976,0.402715,0.467442,0
0.008043,0.021448,0,0,0.006711,0,0.754026,0.791277,0.931638,0
0,0.006173,0,0,0.031056,0,0.564837,0.583359,0.683830,0
0,0.114943,0,0,0.023033,0,0.269053,0.271835,0.301246,0
0,0.134752,0,0,0.007143,0,0.424326,0.442074,0.509489,1
0.003831,0.043423,0,0,0.002558,0,0.539645,0.561749,0.658569,2
0.00252,0.010082,0,0,0.001261,0,0.798481,0.838416,0.988380,2
0,0.026316,0,0,0.010582,0,0.314638,0.333025,0.381796,0
0,0.079038,0,0,0.013769,0,0.277942,0.288981,0.325884,2
0,0.03125,0,0,0.023622,0,0.421140,0.431664,0.500054,0
0,0.066946,0,0,0.01676,0,0.457464,0.475307,0.552169,0
0.013356,0.012521,0,0,0.004177,0,0.706849,0.741698,0.872532,1
0,0,0,0,0.03012,0,0.615156,0.638222,0.749935,0
0,0.087302,0,0,0.011928,0,0.206591,0.208684,0.226886,1
